Geo Point;Geo Shape;dep;adresse;nomcom;insee;nom_carto;typo_niv3;objectid
48.8553100376, 2.36688988163;"{""coordinates"": [2.366889881626245, 48.855310037576245, 0.0], ""type"": ""Point""}";75;21BIS RUE DES TOURNELLES;Paris;75104;Synagogue de la rue des Tournelles;Site et monument;100
48.8486930559, 2.34353303671;"{""coordinates"": [2.343533036712102, 48.84869305587031, 0.0], ""type"": ""Point""}";75;47 RUE DES ECOLES;Paris;75105;Sorbonne;Site et monument;103
48.8520160748, 2.3470495181;"{""coordinates"": [2.347049518103236, 48.85201607477435, 0.0], ""type"": ""Point""}";75;79 RUE GALANDE;Paris;75105;Église Saint-Julien-le-Pauvre;Site et monument;111
48.8418072198, 2.35773792937;"{""coordinates"": [2.357737929370776, 48.84180721977925, 0.0], ""type"": ""Point""}";75;36 RUE GEOFFREY Saint-HILAIRE;Paris;75105;Galerie de minéralogie et de géologie;Musée et écomusée;120
48.8675946796, 2.31879518032;"{""coordinates"": [2.318795180321546, 48.867594679600494, 0.0], ""type"": ""Point""}";75;1 AVENUE GABRIEL;Paris;75108;Espace Pierre Cardin;Musée et écomusée;171
48.8707957179, 2.32593215418;"{""coordinates"": [2.325932154179136, 48.87079571788341, 0.0], ""type"": ""Point""}";75;28 PLACE DE LA MADELEINE;Paris;75108;Pinacothèque de Paris;Musée et écomusée;178
48.8783213841, 2.33739740497;"{""coordinates"": [2.337397404968094, 48.87832138406351, 0.0], ""type"": ""Point""}";75;27 PLACE Saint-GEORGES;Paris;75109;Fondation Dosne-Thiers;Musée et écomusée;182
48.8373255111, 2.3595265486;"{""coordinates"": [2.359526548597269, 48.837325511137514, 0.0], ""type"": ""Point""}";75;82 BOULEVARD DE L'HÔPITAL;Paris;75113;Eglise Saint-Marcel;Site et monument;201
48.8303433162, 2.31398575604;"{""coordinates"": [2.313985756039981, 48.830343316199276, 0.0], ""type"": ""Point""}";75;3 RUE JONQUOY - ESPACE D'ART INTERNATIONAL;Paris;75114;Musée Adzak;Musée et écomusée;209
48.862556562, 2.28606597836;"{""coordinates"": [2.28606597835857, 48.862556562029816, 0.0], ""type"": ""Point""}";75;2 RUE DU COMMANDANT SCHLOESING;Paris;75116;Cimetière de Passy;Site et monument;220
48.8845301473, 2.33818130711;"{""coordinates"": [2.338181307113538, 48.88453014725002, 0.0], ""type"": ""Point""}";75;SQUARE DES ABBESSES;Paris;75118;Mur des je t'aime;Site et monument;249
48.8884713106, 2.39820220246;"{""coordinates"": [2.398202202456028, 48.88847131059899, 0.0], ""type"": ""Point""}";75;221 AVENUE JEAN-JAURÈS;Paris;75119;Philharmonie de Paris;Site et monument;253
48.8705234195, 2.37931535777;"{""coordinates"": [2.379315357769092, 48.870523419472526, 0.0], ""type"": ""Point""}";75;121 RUE DE MÉNILMONTANT;Paris;75120;Pavillon carré de Baudouin;Site et monument;260
48.8569355732, 2.62395830838;"{""coordinates"": [2.623958308379577, 48.85693557316839, 0.0], ""type"": ""Point""}";77;7 BOULEVARD PIERRE-CARLE;NOISIEL;77337;Siège de Nestlé France;Site et monument;278
48.8715868805, 2.21383709801;"{""coordinates"": [2.213837098012124, 48.87158688051046, 0.0], ""type"": ""Point""}";92;AVENUE DU PROFESSEUR LÉON BERNARD;SURESNES;92073;Mémorial de la France combattante;Site et monument;344
48.7731529989, 2.26733933252;"{""coordinates"": [2.267339332515474, 48.773152998912636, 0.0], ""type"": ""Point""}";92;87 RUE DE CHATEAUBRIAND;CHATENAY-MALABRY;92019;Maison de Chateaubriand;Musée et écomusée;345
48.7551589584, 2.32609505083;"{""coordinates"": [2.326095050825349, 48.755158958396166, 0.0], ""type"": ""Point""}";94;41 RUE MAURICE TÉNINE;FRESNES;94034;Ecomusée du val de Bièvre;Musée et écomusée;354
48.8093555282, 2.39083426703;"{""coordinates"": [2.390834267032334, 48.809355528222376, 0.0], ""type"": ""Point""}";94;25-29 RUE RASPAIL;IVRY-SUR-SEINE;94041;Manufacture des Oeillets;Site et monument;355
49.0730684816, 2.16998143395;"{""coordinates"": [2.169981433946068, 49.07306848160088, 0.0], ""type"": ""Point""}";95;61 RUE DAUBIGNY;AUVERS-SUR-OISE;95039;Atelier de Daubigny;Musée et écomusée;362
49.1262584423, 1.89123898827;"{""coordinates"": [1.89123898827479, 49.12625844231002, 0.0], ""type"": ""Point""}";95;31 GRANDE RUE;COMMENY;95169;Maison du pain;Musée et écomusée;366
49.0049440047, 1.63847280553;"{""coordinates"": [1.63847280552616, 49.00494400465563, 0.0], ""type"": ""Point""}";78;ESCALE DE GUERNES;GUERNES;78290;Escale de Guernes;Haltes, escales ou ports fluviaux de plaisance;441
48.909943185, 2.49528163887;"{""coordinates"": [2.495281638869765, 48.90994318503049, 0.0], ""type"": ""Point""}";93;ESCALE DE PAVILLONS-SOUS-BOIS;LES PAVILLONS-SOUS-BOIS;93057;Escale de Pavillons-sous-Bois;Haltes, escales ou ports fluviaux de plaisance;445
48.8609319712, 2.32595458258;"{""coordinates"": [2.325954582579723, 48.86093197116774, 0.0], ""type"": ""Point""}";75;MUSÉE D'ORSAY;Paris;75107;Escale de Solférino - musée d'Orsay;Haltes, escales ou ports fluviaux de plaisance;447
48.9387774315, 2.27796429068;"{""coordinates"": [2.277964290677848, 48.93877743151486, 0.0], ""type"": ""Point""}";92;;GENNEVILLIERS;92036;Escale de Gennevilliers;Haltes, escales ou ports fluviaux de plaisance;466
48.9295766889, 2.340256227;"{""coordinates"": [2.340256226996108, 48.92957668891948, 0.0], ""type"": ""Point""}";93;;SAINT-DENIS;93066;Escale de Saint-Denis, stade de France;Haltes, escales ou ports fluviaux de plaisance;467
48.8959282279, 2.16758683019;"{""coordinates"": [2.167586830191531, 48.89592822790097, 0.0], ""type"": ""Point""}";92;23, RUE DU PORT;NANTERRE;92050;Halte;Haltes, escales ou ports fluviaux de plaisance;473
48.4533420776, 2.7619205157;"{""coordinates"": [2.761920515700346, 48.4533420775771, 0.0], ""type"": ""Point""}";77;HALTE DE SAMOIS;SAMOIS-SUR-SEINE;77441;Halte;Haltes, escales ou ports fluviaux de plaisance;483
